Parent 1,Parent 2,Year,Coyote ID,Sample Date,Sex,Coyote Location,Sample Type (not complete),Sample Status,"Are these 
the parents?",,
,,,831,5/29/14,f,MMWF,"purple top, hair, pit",Genotyped,,,
,,,832,5/29/14,f,MMWF,"purple top, hair, pit",Genotyped,,,
,,,833,5/29/14,m,MMWF,"purple top, hair, pit",Genotyped,,,
,,,834,5/29/14,f,MMWF,"purple top, hair, pit",Genotyped,,,
,,,835,5/29/14,f,MMWF,"purple top, hair, pit",Genotyped,,,
675,,2015,953,5/12/15,f,PC,hair,Pupping 2015 bag,,,
673,,2013,692,4/30/13,m,PC,hair,MMWF - P2013,,,
,,,693,4/30/13,m,PC,hair,MMWF - P2013,,,
,,,694,4/30/13,m,PC,hair,MMWF - P2013,,,
,,,695,4/30/13,m,PC,hair,Extracted-blood,,,
672,,2013,737,6/3/2013,M,Poplar Creek,blood,Genotyped,,,
,,,738,6/3/2013,m,Poplar Creek,blood,Genotyped,,,
,,,739,6/3/2013,m,Poplar Creek,blood,Genotyped,,,
667,,2013,702,5/1/2013,f,Busse,hair,Extraction,,,
,,,703,5/1/2013,m,Busse,hair,Extraction,,,
,,,704,5/1/2013,m,Busse,hair,Extraction,,,
,,,705,5/1/2013,m,Busse,hair,Extraction,,,
,,,706,5/1/2013,m,Busse,hair,Extraction,,,
,,,707,5/1/2013,m,Busse,hair,Extraction,,,
,,,708,5/1/2013,f,Busse,hair,Extraction,,,
,,2014,771,5/11/14,f,South Bussee,hair,Pupping #1 2014 bag,,,
,,,772,5/11/14,m,South Bussee,hair,Pupping #1 2014 bag,,,
,,,773,5/11/14,f,South Bussee,hair,Pupping #1 2014 bag,,,
,,,774,5/11/14,m,South Bussee,hair,Pupping #1 2014 bag,,,
,,,775,5/11/14,m,South Bussee,hair,Pupping #1 2014 bag,,,
,,,776,5/11/14,m,South Bussee,hair,Pupping #1 2014 bag,,,
,,,777,5/11/14,m,South Bussee,hair,Pupping #1 2014 bag,,,
,,,778,5/11/14,f,South Bussee,hair,Pupping #1 2014 bag,,,
,,,779,5/11/14,m,South Bussee,hair,Pupping #1 2014 bag,,,
582,,2014,765,5/11/14,m,Palatine,hair,Pupping #1 2014 bag,,,
,,,766,5/11/14,m,Palatine,hair,Pupping #1 2014 bag,,,
,,,767,5/11/14,f,Palatine,hair,Pupping #1 2014 bag,,,
,,,768,5/11/14,m,Palatine,hair,Pupping #1 2014 bag,,,
,,,769,5/11/14,m,Palatine,hair,Pupping #1 2014 bag,,,
,,,770,5/11/14,m,Palatine,hair,Pupping #1 2014 bag,,,
,,2015,948,5/8/15,f,Palatine,hair,Pupping 2015 bag,,,
581,,2012,583,4/30/12,f,M's Marsh,hair,MMWF - P2012,,,
,,,584,4/30/12,f,M's Marsh,"hair, clot, purple top",MMWF - P2012,,,
,,,585,4/30/12,f,M's Marsh,hair,MMWF - P2012,,,
,,,586,4/30/12,f,M's Marsh,hair,MMWF - P2012,,,
,,,587,4/30/12,m,M's Marsh,hair,MMWF - P2012,,,
,,,588,4/30/12,f,M's Marsh,hair,MMWF - P2012,,,
,,,589,4/30/12,m,M's Marsh,hair,MMWF - P2012,,,
,,2013,696,5/1/2013,m,MHM,hair,MMWF - P2013,,,
,,,697,5/1/2013,m,MHM,hair,MMWF - P2013,,,
,,,698,5/1/2013,f,MHM,hair,MMWF - P2013,,,
,,,699,5/1/2013,f,MHM,hair,MMWF - P2013,,,
,,,700,5/1/2013,f,MHM,hair,MMWF - P2013,,,
,,,701,5/1/2013,m,MHM,hair,MMWF - P2013,,,
,,2014,,,,,,,,,
,,,758,10/21/14,m,MHM,blood,Genotyped,,,
,,,759,10/21/14,m,MHM,blood,Genotyped,,,
,,,760,5/5/14,m,MHM,hair,Pupping #1 2014 bag,,,
,,,761,10/21/14,m,MHM,blood,Genotyped,,,
,,,762,5/5/14,m,MHM,hair,Pupping #1 2014 bag,,,
,,,763,5/5/14,m,MHM,hair,Pupping #1 2014 bag,,,
,,,764,5/5/14,m,MHM,hair,Pupping #1 2014 bag,,,
,,2015,894,5/1/15,f,Melonhead Marsh,hair,Pupping 2015 bag,,,
,,,895,5/1/15,f,Melonhead Marsh,hair,Pupping 2015 bag,,,
,,,896,5/1/15,m,Melonhead Marsh,hair,Pupping 2015 bag,,,
,,,897,5/1/15,m,Melonhead Marsh,hair,Pupping 2015 bag,,,
,,,898,5/1/15,m,Melonhead Marsh,hair,Pupping 2015 bag,,,
,,,899,5/1/15,f,Melonhead Marsh,hair,Pupping 2015 bag,,,
579,,2013,717,5/8/2013,M,MMWF,hair,MMWF - P2013,,,
,,,718,5/8/2013,f,MMWF,hair,MMWF - P2013,,,
,,,719,5/8/2013,m,MMWF,hair,MMWF - P2013,,,
,,,720,5/8/2013,m,MMWF,hair,MMWF - P2013,,,
,,,721,5/8/2013,f,MMWF,hair,MMWF - P2013,,,
508,,2012,598,5/4/12,f,St. Charles,hair,MMWF - P2012,,,
,,,599,5/4/12,f,St. Charles,hair,MMWF - P2012,,,
,,,600,5/4/12,f,St. Charles,hair,MMWF - P2012,,,
,,,601,5/4/12,m,St. Charles,hair,MMWF - P2012,,,
,,,602,5/4/12,f,St. Charles,hair,MMWF - P2012,,,
466,,2011,547,5/18/11,m,CT,blood,Genotyped,,,
,,,548,5/18/11,m,CT,blood,Genotyped,,,
,,,549,5/18/11,f,CT,blood,Genotyped,,,
,,,550,5/18/2011 & 3/6/2012,f,CT,clot & purple top,Genotyped,,,
,,,551,5/18/2011 & 3/14/12,f,CT,clot & purple top,Genotyped,,,
,,2012,603,5/10/12,m,Crabtree,blood,Genotyped,,,
,,,,,,,,,,,
,,,612,5/10/12,f,Crabtree,blood,Genotyped,,,
,,,613,5/10/12,m,Crabtree,blood,Genotyped,,,
,,,614,5/10/12,m,Crabtree,blood,Genotyped,,,
,,,615,5/10/12,f,Crabtree,blood,Genotyped,,,
,,,616,5/10/12,f,Crabtree,blood,Genotyped,,,
,,2014,843,8/10/14,,Crabtree,blood,Extracted,,caught as later pup but brindle,
,,2015,931,5/7/15,m,CT,"hair, blood",Genotyped,,,
,,,932,5/7/15,f,CT,"hair, blood",Genotyped,,,
,,,933,5/7/15,m,CT,"hair, blood",Genotyped,,,
,,,934,5/7/15,m,CT,"hair, blood",Genotyped,,,
459,,2011,546,5/16/11,m,Busse,hair,MMWF - pupping,,,
,,2012,635,5/17/12,m,Busse,blood,Genotyped,,,
,,,636,5/17/12,f,Busse,blood,Genotyped,,,
,,,637,5/17/12,f,Busse,blood,Genotyped,,,
,,,638,5/17/12,m,Busse,blood,Genotyped,,,
,,2014,817,5/22/14,F,Busse,purple top,Genotyped,,,
,,,818,5/22/14,M,Busse,purple top,Genotyped,,,
,,,819,5/22/14,F,Busse,purple top,Genotyped,,,
,,,820,5/22/14,M,Busse,purple top,Genotyped,,,
,,,821,5/22/14,F,Busse,purple top,Genotyped,,,
,,,822,5/22/14,F,Busse,purple top,Genotyped,,,
,,2015,942,5/8/15,f,Busse,"hair, blood",Pupping 2015 bag,,,
,,,943,5/8/15,m,Busse,"hair, blood",Pupping 2015 bag,,,
,,,944,5/8/15,f,Busse,"hair, blood",Pupping 2015 bag,,,
,,,945,5/8/15,m,Busse,"hair, blood",Pupping 2015 bag,,,
,,,946,5/8/15,m,Busse,"hair, blood",Pupping 2015 bag,,,
,,,947,5/8/15,m,Busse,hair,Pupping 2015 bag,,,
457,,2010,472,5/28/10,f,Busse,blood,MMWF - A Bag,,,
,,,473,5/28/10,f,Busse,blood,JEANS,,,
,,,474,5/28/10,m,Busse,blood,MMWF - A Bag,,,
,,,475,5/28/10,f,Busse,blood,JEANS,,,
,,,476,5/28/10,f,Busse,blood,JEANS,,,
,,,477,5/28/10,f,Busse,clot,JEANS,,,
,,,478,5/28/10,f,Busse,blood,JEANS,,,
440,,2012,590,5/3/12,f,PC,hair,MMWF - P2012,,,
,,,591,5/3/12,m,PC,hair,MMWF - P2012,,,
,,,592,5/3/12,m,PC,hair,MMWF - P2012,,,
,,,593,5/3/12,m,PC,hair,MMWF - P2012,,,
,,,594,5/3/12,m,PC,hair,MMWF - P2012,,,
,,,595,5/3/12,m,PC,hair,MMWF - P2012,,,
,,,596,5/3/12,m,PC,hair,MMWF - P2012,,,
,,,597,5/3/12,m,PC,hair,MMWF - P2012,,,
369,,2015,935,5/7/15,f,CT,"hair, blood",Pupping 2015 bag,,,
,,,936,5/7/15,m,CT,hair,Pupping 2015 bag,,,
,,,937,5/7/15,f,CT,"hair, blood",Pupping 2015 bag,,,
,,,938,5/7/15,m,CT,"hair, blood",Pupping 2015 bag,,,
,,,939,5/7/15,f,CT,"hair, blood",Pupping 2015 bag,,,
,,,940,5/7/15,m,CT,"hair, blood",Pupping 2015 bag,,,
,,,941,5/7/15,f,CT,hair,Pupping 2015 bag,,,
361,,2011,558,5/26/11,m,PC/FC,hair -not enough sample; disposed,,,,
,,,559,5/26/11,m,PC/FC,"blood, hair",Genotyped,,,
,,,560,5/26/11,m,PC/FC,"blood, hair",MMWF - pupping,,,
,,,561,5/26/11,m,PC/FC,"blood, hair",Genotyped,,,
,,,562,5/26/11,m,PC/FC,blood,Genotyped,,,
,,2012,620,5/10/12,f,PC,hair,MMWF - P2012,,,
,,,621,5/10/12,m,PC,hair,MMWF - P2012,,,
,,,622,5/10/12,f,PC,hair,MMWF - P2012,,,
,,,623,5/10/12,m,PC,hair,MMWF - P2012,,,
,,,624,5/10/12,m,PC,hair,MMWF - P2012,,,
,,,625,5/10/12,f,PC,hair,MMWF - P2012,,,
360,,2012,650,5/24/12,f,PC,hair,MMWF - P2012,,,
,,,651,5/24/12,f,PC,blood,MMWF - P2012,,,
,,,652,5/24/12,m,PC,blood,MMWF - P2012,,,
,,,653,5/24/12,f,PC,blood,MMWF - P2012,,,
,,,654,5/24/12,f,PC,blood,MMWF - P2012,,,
,,2013,722,5/10/2013,F,Poplar Creek,hair,MMWF - P2013,,,
,,,723,5/10/2013,M,Poplar Creek,hair,MMWF - P2013,,,
,,,724,5/10/2013,F,Poplar Creek,hair,MMWF - P2013,,,
,,,725,5/10/2013,F,Poplar Creek,hair,MMWF - P2013,,,
,,,725,5/25/14,f,PC,Clot & purple top,MMWF - E Bag,,,
,,,726,5/10/2013,M,Poplar Creek,hair &blood,Genotyped,,,
,,,727,5/10/2013,F,Poplar Creek,hair,MMWF - P2013,,,
,,,728,5/10/2013,M,Poplar Creek,hair,MMWF - P2013,,,
,,,729,5/10/2013,F,Poplar Creek,hair,MMWF - P2013,,,
,,2014,797,5/14/14,f,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,798,5/14/14,f,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,799,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,800,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,801,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,802,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
358,,2012,655,5/24/12,f,PC,blood,Genotyped,,,
,,,656,5/24/12,f,PC,blood,Extracted,,,
,,,657,5/24/2012 & 1/11/2013,f,PC,clot &purple top,Genotyped,,,
,,2014,786,5/14/14,f,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,787,5/14/14,f,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,788,3/31/15,m,PC,blood,Genotyped,,,
,,,789,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,790,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,791,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,792,5/14/14,f,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,793,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,794,5/14/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,795,5/14/14,f,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,796,5/14/14,f,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,2015,900,5/1/15,m,Poplar Creek,hair,Pupping 2015 bag,,,
,,,901,5/1/15,f,Poplar Creek,hair,Pupping 2015 bag,,,
,,,902,5/1/15,m,Poplar Creek,hair,Pupping 2015 bag,,,
,,,903,5/1/15,f,Poplar Creek,hair,Pupping 2015 bag,,,
,,,904,5/1/15,f,Poplar Creek,hair,Pupping 2015 bag,,,
,,,905,5/1/15,m,Poplar Creek,hair,Pupping 2015 bag,,,
,,,906,5/1/15,f,Poplar Creek,hair,Pupping 2015 bag,,,
,,,907,5/1/15,f,Poplar Creek,hair,Pupping 2015 bag,,,
,,,908,5/1/15,f,Poplar Creek,hair,Pupping 2015 bag,,,
,,,909,5/1/15,m,Poplar Creek,hair,Pupping 2015 bag,,,
,,,910,5/1/15,m,Poplar Creek,hair,Pupping 2015 bag,,,
,,,911,5/1/15,m,Poplar Creek,"hair, blood",Pupping 2015 bag,,,
356,,2011,523,5/10/11,f,SVNC,blood,Genotyped,,,
,,,524,5/10/11,f,SVNC,hair,MMWF - P2011,,,
,,,525,5/10/11,f,SVNC,hair,MMWF - P2011,,,
,,,526,5/10/11,f,SVNC,blood,Extracted,,,
,,,527,5/10/11,m,SVNC,hair,MMWF - P2011,,,
,,,528,5/10/11,m,SVNC,blood,Genotyped,,,
,,,529,5/10/11,m,SVNC,hair,MMWF - P2011,,,
,,,530,5/10/11,m,SVNC,hair,MMWF - P2011,,,
,,,531,5/10/11,m,SVNC,blood,Genotyped,,,
320,,2009,400,5/29/09,f,MMWF,Clots,Extracted,,,
,,,401,5/29/09,f,MMWF,Clots,Extracted,,,
,,2013,709,5/2/2013,F,MMWF,hair,MMWF - P2013,,,
,,,710,5/2/2013,M,MMWF,hair,MMWF - P2013,,,
,,,711,5/2/2013,M,MMWF,hair,MMWF - P2013,,,
,,,712,5/2/2013,M,MMWF,hair,MMWF - P2013,,,
,,,713,5/2/2013,F,MMWF,hair,MMWF - P2013,,,
,,,714,5/2/2013,M,MMWF,hair,MMWF - P2013,,,
315,,2010,484,6/2/10,m,busse,hair,missing?,,,
,,,485,6/2/10,f,Busse,none avail,JEANS,,,
,,,486,6/2/10,m,Busse,none avail,JEANS,,,
313,,2010,479,6/1/10,f,East Branch,blood,,,,
,,,480,6/1/10,m,East Branch,blood,,,,
,,,481,6/1/10,f,East Branch,blood,,,,
,,,482,6/1/10,m,East Branch,blood,MISSING?,,,
,,,483,6/1/10,m,East Branch,blood,,,,
,,2015,954,5/15/15,f,East Branch,hair,Pupping 2015 bag,,,
,,,955,5/15/15,m,East Branch,hair,Pupping 2015 bag,,,
,,,956,5/15/15,m,East Branch,hair,Pupping 2015 bag,,,
,,,957,5/15/15,f,East Branch,hair,Pupping 2015 bag,,,
,,,958,5/15/15,f,East Branch,hair,Pupping 2015 bag,,,
,,,959,5/15/15,m,East Branch,hair,Pupping 2015 bag,,,
298,,2009,425,6/8/09,f,PC,clot,Genotyped,,,
278,,2009,412,6/3/09,f,MMWF,Clots,Genotyped,,,
,,,413,6/3/09,m,MMWF,Clots,Jeans,,,
,,,414,6/3/09,m,MMWF,Clots,Jeans,,,
,,,415,6/3/09,m,MMWF,Clots,Jeans,,,
,,,416,6/3/09,f,MMWF,Clots,Jeans,,,
,,,417,6/3/09,f,MMWF,Clots,Jeans,,,
,,,418,6/3/09,m,MMWF,Clots,Jeans,,,
,,,419,6/3/09,m,MMWF,Clots,Jeans,,,
259,,2009,402,6/2/09,m,PC,Clots,Genotyped,,,
,,,403,6/2/09,m,PC,Clots,Extracted ,,,
227,,2013,730,5/15/2013,f,WGN,blood,Genotyped,,,
,,,731,5/15/2013 & Dec 2013,m,WGN,clot & purple top,Genotyped,,,
,,,732,5/15/2013,m,WGN,hair,Extraction,,,
,,,733,5/15/2013,f,WGN,blood,Genotyped,,,
177,,2011,512,5/9/11,m,PC,"blood, clot, hair",Genotyped,,,
,,,513,5/9/11,m,PC,hair,Genotyped,,,
,,,514,5/9/11,m,PC,hair,Incubating,,,
,,,515,5/9/11,f,PC,"hair, purple top",Genotyped,,,
,,,516,5/9/2011 & 4/17/13,m,PC,"blood, clot, hair",Genotyped,,,
,,,517,5/9/11 & 1/31/2012,m,PC,clot,Genotyped,,,
,,,518,5/9/2011 & 1/31/12,m,PC,"blood, clot, hair",Genotyped,,,
,,,519,5/9/2011 & 1/31/12,f,PC,"blood, clot, hair",Genotyped,,,
,,,520,5/9/11,m,PC,hair,Genotyped,,,
,,2012,626,5/16/12,f,PC,hair,MMWF - P2012,,,
,,,627,5/16/12,f,PC,hair,MMWF - P2012,,,
,,,628,5/16/12,f,PC,hair,MMWF - P2012,,,
,,,629,5/16/12,f,PC,blood,MMWF - P2012,,,
,,,630,5/16/12,m,PC,hair,MMWF - P2012,,,
,,,631,5/16/12,f,PC,blood,MMWF - P2012,,,
,,,632,5/16/12,m,PC,hair,MMWF - P2012,,,
,,,633,5/16/12,f,PC,blood/hair,MMWF - P2012,,,
,,,634,5/16/12,f,PC,hair,MMWF - P2012,,,
174,,2005,186,,F,PC,,Genotyped,,,
,,,187,,m,PC,,Genotyped,,,
,,,188,,F,PC,,Genotyped,,,
167,,2009,384,5/19/09,m,HW,Clots,Extracted,,,
,,,385,5/20/09,m,pc,Clots,Genotyped,,,
